system	number of systems
DMS_other	30605
PD-T4-6	29190
PDC-S07	25360
RM_type_I	22475
SoFic	18738
RM_type_II	14948
PDC-S04	12931
PDC-S02	10150
VSPR	9833
dXTPase	9375
AbiE	9101
PDC-S12	8961
PDC-S01	8894
RM_type_IIG	7509
RM_type_IV	7455
RM_type_III	6435
gabija	6432
PDC-S05	5971
Mokosh_TypeII	5538
cas_type_I-E	5297
PDC-S13	4938
Lamassu_Family	4893
HEC-06	4715
AbiD	4339
PDC-S06	3721
PDC-S03	3637
septu_type_I	3480
RosmerTA	3089
PDC-S08	3043
PDC-S09	3013
ietAS	2792
cas_type_other	2650
RM_type_HNH	2637
cbass_type_I	2518
wadjet_other	2406
GAO_19	2295
PDC-S15	2289
PDC-S11	2170
hachiman_type_I	2049
PD-T4-3	2027
HEC-01	1952
PDC-M06	1868
PDC-S31	1845
PDC-S18	1838
PDC-S21	1813
zorya_other	1767
AbiL	1731
wadjet_type_I	1668
PDC-S34	1651
cas_type_I-C	1638
zorya_type_III	1588
kiwa	1586
Shango	1584
PD-Lambda-1	1515
brex_type_I	1513
DRT_class_I	1501
cas_type_I-F1	1501
PDC-S20	1458
cas_type_II-A	1406
PD-T7-1or5	1405
DRT_class_II	1342
PDC-S16	1329
cas_type_I-B1	1310
cbass_type_II	1265
shedu	1250
PDC-S55	1225
darTG	1180
Paris	1162
Mokosh_TypeI	1135
HEC-05	1130
SEFIR	1126
thoeris_type_I	1116
PDC-S70	1110
PDC-M01	1087
PDC-S26	1086
PDC-S27	1085
Uzume	1074
PDC-S17	1060
PDC-S37	1049
PDC-S14	1026
Tiamat	1024
PDC-S44	1024
PrrC	1018
AbiU	989
PsyrTA	971
qatABCD	967
PifA	967
cbass_other	962
PDC-S19	951
AVAST_type_II	938
cas_type_II-C	917
PDC-S25	908
PDC-S67	897
PDC-S36	879
druantia_type_III	877
DRT_other	871
tmn	859
retron_II-A	856
PDC-S22	837
PDC-M24	833
PDC-M11	810
PDC-S23	808
